"Site","ABLA","PICO","PIEN","PIPO","PSME"
"2",0,0,0,1,0
"3",0,0,0,1,0
"4",1,1,1,0,0
"5",1,1,1,0,0
"6",0,1,0,0,0
"7",0,1,0,0,0
"8",0,1,0,0,0
"9",1,1,1,0,0
"10",1,1,1,0,0
"11",1,1,1,0,0
"12",1,1,1,0,0
"13",1,1,1,0,0
"14",1,1,1,0,0
"15",1,1,1,0,0
"16",1,1,1,0,0
"17",0,1,0,0,0
"18",0,1,0,0,0
"19",0,1,0,0,0
"20",1,1,1,0,0
"21",1,1,1,0,0
"22",1,1,1,0,0
"23",1,1,1,0,0
"24",1,1,1,0,0
"25",1,1,1,0,0
"26",1,1,1,0,0
"27",0,0,0,1,0
"29",0,0,0,1,0
"30",0,0,0,1,0
"31",0,0,0,1,1
"32",0,0,0,1,1
"34",1,1,1,0,0
"35",1,1,1,0,0
"37",1,1,1,0,0
"38",1,1,1,0,0
