"Cluster","Site","Transect","Subplot","Height","Substrate","Small.Topo","Large.Topo","Large.CWD","Small.CWD","Sucker.Dist","Browse"
"CAM","38","A","22-24",8.3,"char","sloping","sloping",NA,0,51,0
"RAWAH","7","B","42-44",18,"bryophytes","concave","concave",1,0,51,0
"RAWAH","7","B","42-44",17,"bryophytes","concave","concave",1,0,51,0
"RAWAH","7","B","42-44",18,"bryophytes","concave","concave",1,0,51,0
"RAWAH","7","B","42-44",15,"bryophytes","concave","concave",1,0,51,0
"RAWAH","7","B","42-44",25,"bryophytes","concave","concave",1,0,51,0
"RAWAH","7","B","42-44",39,"bryophytes","concave","concave",1,0,51,0
"RAWAH","7","B","42-44",28,"bryophytes","concave","concave",1,0,51,0
"RAWAH","7","B","42-44",25,"bryophytes","concave","concave",1,0,51,1
"RAWAH","7","B","44-46",60,"bryophytes","sloping","concave",1,0,51,0
"RAWAH","7","B","44-46",45,"bryophytes","concave","sloping",1,0,51,0
"RAWAH","7","B","44-46",34,"bryophytes","sloping","sloping",1,0,51,1
"SNOW","20","B","44909",27.5,"bryophytes","level","concave",1,0,51,0
"LONG","25","A","44720",3.9,"bryophytes","level","concave",1,0,51,0
"LONG","25","A","44720",5.5,"bryophytes","level","concave",1,0,51,0
"LONG","25","A","44720",2.6,"bryophytes","level","concave",1,0,51,0
"LONG","25","A","44783",5.8,"bryophytes","concave","concave",1,0,51,0
"LONG","25","A","44909",3.9,"bryophytes","concave","concave",1,0,51,0
"LONG","25","A","44909",11,"bryophytes","level","concave",1,0,51,0
"LONG","25","A","16-18",6.5,"bryophytes","level","concave",1,0,51,0
"LONG","25","A","16-18",9,"bryophytes","sloping","concave",1,0,51,0
"LONG","25","A","16-18",12,"bryophytes","sloping","concave",1,0,51,0
"LONG","25","A","16-18",10,"bryophytes","sloping","concave",1,0,51,1
"LONG","27","A","0-2",20.1,"bryophytes","sloping","concave",1,0,51,0
"LONG","27","B","0-2",5.1,"bryophytes","sloping","sloping",1,0,51,0
"CAM","35","B","14-16",4.4,"bryophytes","concave","sloping",1,0,51,0
"CAM","38","A","44657",3.5,"bryophytes","concave","level",1,0,51,0
"CAM","38","A","44909",7.6,"bryophytes","concave","concave",1,0,51,0
"CAM","38","A","44909",5.2,"bryophytes","concave","concave",1,0,51,0
"CAM","38","A","14-16",4.7,"bryophytes","sloping","concave",1,0,51,0
"CAM","38","A","16-18",8.2,"bryophytes","concave","concave",1,0,51,0
"CAM","38","A","16-18",5.2,"bryophytes","sloping","concave",1,0,51,0
"CAM","38","A","16-18",5.1,"bryophytes","level","level",1,0,51,1
"CAM","38","A","20-22",3.6,"bryophytes","concave","concave",1,0,51,0
"CAM","38","A","20-22",45.7,"bryophytes","sloping","concave",1,0,51,0
"CAM","38","A","20-22",7.2,"bryophytes","concave","sloping",1,0,51,0
"CAM","38","A","22-24",15,"bryophytes","concave","concave",1,0,51,0
"CAM","38","A","22-24",12,"bryophytes","sloping","concave",1,0,51,0
"CAM","38","A","22-24",9.6,"bryophytes","sloping","concave",1,0,51,0
"CAM","38","A","22-24",7.5,"bryophytes","concave","sloping",1,0,51,0
"CAM","38","A","32-34",10.4,"bryophytes","level","concave",1,0,51,0
"CAM","38","A","32-34",9.9,"bryophytes","sloping","concave",1,0,51,0
"CAM","38","A","32-34",6.5,"bryophytes","concave","sloping",1,0,51,0
"CAM","38","A","32-34",9.6,"bryophytes","sloping","sloping",1,0,51,0
"CAM","38","A","32-34",6.3,"bryophytes","sloping","sloping",1,0,51,0
"CAM","38","A","32-34",3,"bryophytes","sloping","sloping",1,0,51,0
"CAM","38","A","32-34",11.4,"bryophytes","sloping","sloping",1,0,51,0
"CAM","38","A","34-36",9.8,"bryophytes","concave","level",1,0,51,0
"CAM","38","A","34-36",7.5,"bryophytes","concave","level",1,0,51,0
"CAM","38","A","34-36",16.9,"bryophytes","concave","level",1,0,51,0
"CAM","38","A","34-36",2.9,"bryophytes","level","level",1,0,51,0
"CAM","38","A","34-36",8.3,"bryophytes","level","level",1,0,51,1
"CAM","38","A","34-36",3.8,"bryophytes","level","level",1,0,51,0
"CAM","38","B","20-22",7.3,"bryophytes","concave","concave",1,0,51,0
"CAM","38","B","20-22",10.5,"bryophytes","level","concave",1,0,51,0
"CAM","38","B","20-22",7.9,"bryophytes","level","level",1,0,51,0
"CAM","38","B","20-22",11.5,"bryophytes","sloping","sloping",1,0,51,0
"CAM","38","B","20-22",10.8,"bryophytes","sloping","sloping",1,0,51,0
"CAM","38","B","20-22",11.7,"bryophytes","sloping","sloping",1,0,51,0
"CAM","38","B","20-22",10,"bryophytes","sloping","sloping",1,0,51,0
"CAM","38","B","22-24",2.9,"bryophytes","level","level",1,0,51,0
"CAM","38","B","28-30",1.2,"bryophytes","level","level",1,0,51,0
"CAM","38","B","28-30",8.7,"bryophytes","sloping","sloping",1,0,51,0
"CAM","38","B","30-32",1,"bryophytes","level","level",1,0,51,0
"CAM","38","B","30-32",0.5,"bryophytes","level","level",1,0,51,0
"CAM","38","B","32-34",46.6,"bryophytes","concave","concave",1,0,51,0
"CAM","38","B","34-36",13.9,"bryophytes","level","sloping",1,0,51,0
"CAM","38","B","34-36",12.1,"bryophytes","sloping","sloping",1,0,51,0
"CAM","38","B","34-36",23.3,"bryophytes","sloping","sloping",1,0,51,0
"CAM","38","B","34-36",22.8,"bryophytes","sloping","sloping",1,0,51,0
"CAM","38","B","34-36",15,"bryophytes","sloping","sloping",1,0,51,0
"CAM","38","B","40-42",5,"bryophytes","level","sloping",1,0,51,0
"CAM","38","B","40-42",8.2,"bryophytes","level","sloping",1,0,51,0
"CAM","38","B","40-42",3.1,"bryophytes","level","sloping",1,0,51,0
"CAM","38","B","42-44",23.2,"bryophytes","sloping","sloping",1,0,51,0
"CAM","38","B","42-44",22.5,"bryophytes","sloping","sloping",1,0,51,0
"LAKE","6","A","14-16",6,"char","concave","level",1,0,51,0
"LAKE","6","A","14-16",15,"char","level","level",1,0,51,1
"LAKE","6","A","14-16",3.5,"char","level","level",1,0,51,0
"RAWAH","7","A","16-18",21,"char","level","level",1,0,51,0
"RAWAH","7","B","34-36",23,"char","sloping","level",1,0,51,0
"RAWAH","7","B","34-36",13,"char","sloping","sloping",1,0,51,0
"RAWAH","7","B","34-36",29,"char","sloping","sloping",1,0,51,0
"RAWAH","7","B","36-38",14,"char","level","level",1,0,51,0
"RAWAH","7","B","36-38",20,"char","level","level",1,0,51,1
"RAWAH","7","B","40-42",26,"char","concave","level",1,0,51,0
"RAWAH","8","B","40-42",9,"char","level","sloping",1,0,51,0
"RAWAH","19","A","0-2",1.5,"char","concave","concave",1,0,51,0
"RAWAH","19","A","0-2",14,"char","concave","level",1,0,51,0
