Site,UTM.Zone,Easting,Northing,Elevation,Slope,Aspect,Topo.Position,Dist.Con
2,13T,455188,4496280,2519,8,169,sloping,74
4,13T,427569,4494233,2850,7,84,sloping,38
5,13T,427646,4494147,2825,5,75,concave,43
6,13T,427647,4493988,2835,6,173,concave,77
7,13T,427082,4499706,2710,7,30,level,148
8,13T,426956,4499540,2724,9,340,level,42
9,13T,427716,4493460,2865,10,66,sloping,106
10,13T,427530,4493428,2898,8,330,concave,31
11,13T,427118,4493949,2901,10,92,level,79
12,13T,427290,4493596,2926,11,32,level,110
13,13T,425878,4490676,3051,11,338,level,41
15,13T,426491,4490988,3025,8,340,concave,65
16,13T,426633,4490741,3012,3,58,level,118
17,13T,426807,4499771,2715,6,108,level,73
18,13T,427132,4499400,2739,4,12,sloping,235
19,13T,427156,4498773,2751,10,84,level,192
20,13T,426997,4492304,2959,10,12,sloping,30
21,13T,429815,4490511,3029,1,298,concave,35
22,13T,424940,4489009,3206,8,60,concave,45
23,13T,424655,4489019,3259,13,194,level,44
24,13T,424640,4488778,3199,12,160,level,83
25,13T,431465,4490417,3068,7,130,level,58
26,13T,431200,4490450,3099,48,240,concave,175
27,13T,430929,4490476,3090,11,120,sloping,57
29,13T,454247,4495871,2599,9,206,level,27
30,13T,455545,4496202,2462,5,58,level,48
31,13T,450677,4508236,2574,14,266,level,200
32,13T,450822,4508064,2611,3,158,level,270
34,13T,434425,4485996,3106,9,194,level,96
35,13T,434642,4485999,3093,5,90,concave,175
37,13T,433826,4486153,3119,12,196,level,102
38,13T,434173,4486246,3154,4,190,level,274
