Site,Transect,Point,Forb,Shrub,Gram,Herb
2,A,0,0.5,12,0,12.5
2,A,20,0,0,11,11
2,A,40,39,0,36,75
2,B,0,12,0,0,12
2,B,20,9,0,4,13
2,B,40,8,8,1,17
3,A,0,7,0,0,7
3,A,20,20,0,3,23
3,A,40,19,0,1,20
3,B,0,2,0,10,12
3,B,20,0,7,0,7
3,B,40,9,0,0,9
4,A,0,0,0,0,0
4,A,20,0,0,0,0
4,A,40,1,0,0,1
4,B,0,2,0,0,2
4,B,20,0,0,0,0
4,B,40,0,0,22,22
5,A,0,6,0,0,6
5,A,20,8,0,0,8
5,A,40,0.5,0,0.5,1
5,B,0,2,0,9,11
5,B,20,3,0,0,3
5,B,40,0,0,0,0
6,A,0,6,0,0,6
6,A,20,8,0,0,8
6,A,40,0.9,0,0.9,1.8
6,B,0,2,0,9,11
6,B,20,3,0,0,3
6,B,40,0,0,0,0
7,A,0,11,13,0,24
7,A,20,20,0,0,20
7,A,40,21,0,0,21
7,B,0,9,2,0,11
7,B,20,16,0,0,16
7,B,40,15,0,0,15
8,A,0,11,0,18,29
8,A,20,1,0,1,2
8,A,40,1,1,0.9,2.9
8,B,0,1,0,0,1
8,B,20,0.9,0,0,0.9
8,B,40,0,7,0,7
9,A,0,2,0,0,2
9,A,20,0,0,0,0
9,A,40,1,0,0,1
9,B,0,0,0,0,0
9,B,20,0,0,0,0
9,B,40,0,0,0,0
10,A,0,0,0.9,0.9,1.8
10,A,20,0.9,0,0,0.9
10,A,40,0,0,0.9,0.9
10,B,0,1,0,0,1
10,B,20,0,0,0,0
10,B,40,8,0,0,8
11,A,0,0,0,0,0
11,A,20,14,0,0,14
11,A,40,5,0,0,5
11,B,0,0.9,0,0,0.9
11,B,20,0.9,0,0,0.9
11,B,40,2,0,0,2
12,A,0,17,0,0,17
12,A,20,2,0,0,2
12,A,40,5,0,0,5
12,B,0,8,0,0,8
12,B,20,1,0,0,1
12,B,40,2,0,0,2
13,A,0,16,0,4,20
13,A,20,2,0,0,2
13,A,40,13,0,0,13
13,B,0,0.9,0,0,0.9
13,B,20,0,0,0,0
13,B,40,6,0,0,6
14,A,0,1,0,0,1
14,A,20,2,0,0,2
14,A,40,6,0,0,6
14,B,0,1,0,0,1
14,B,20,1,0,0,1
14,B,40,2,0,0,2
15,A,0,34,0,0,34
15,A,20,6,0,0,6
15,A,40,3,0,0,3
15,B,0,7,0,0,7
15,B,20,8,0,2,10
15,B,40,2,0,0,2
16,A,0,2,0,0,2
16,A,20,11,0,8,19
16,A,40,0,0,0,0
16,B,0,1,0,0,1
16,B,20,8,0,1,9
16,B,40,5,0,0,5
17,A,0,0,13,2,15
17,A,20,0.9,0,0,0.9
17,A,40,2,0,0,2
17,B,0,0.9,0,0,0.9
17,B,20,5,3,0,8
17,B,40,1,2,0,3
18,A,0,0.9,0,0,0.9
18,A,20,3,2,0,5
18,A,40,2,0,4,6
18,B,0,9,0,0,9
18,B,20,0.9,0,0,0.9
18,B,40,0,0,0,0
19,A,0,71,0,1,72
19,A,20,0,1,0,1
19,A,40,8,0,0,8
19,B,0,0,0,0,0
19,B,20,9,5,1,15
19,B,40,0,14,0,14
20,A,0,2,0,0,2
20,A,20,1,0,0,1
20,A,40,5,0,16,21
20,B,0,36,0,0,36
20,B,20,5,15,42,62
20,B,40,4,0,0,4
21,A,0,77,21,1,99
21,A,20,13,0,0,13
21,A,40,5,0,22,27
21,B,0,92,4,0,96
21,B,20,4,1,0,5
21,B,40,20,0,0,20
22,A,0,2,0,0,2
22,A,20,3,0,0,3
22,A,40,4,0,0,4
22,B,0,2,0,0,2
22,B,20,1,0,0,1
22,B,40,2,0,0,2
23,A,0,30,0,0,30
23,A,20,0,0,0,0
23,A,40,0,0,0,0
23,B,0,0,0,0,0
23,B,20,1,0,0.9,1.9
23,B,40,3,0,0,3
24,A,0,7,0,1,8
24,A,20,0,0,0,0
24,A,40,9,0,0,9
24,B,0,0,0,7,7
24,B,20,5,0,10,15
24,B,40,2,0,0,2
25,A,0,1,0,15,16
25,A,20,7,0,9,16
25,A,40,9,0,2,11
25,B,0,8,0,4,12
25,B,20,2,0,0,2
25,B,40,2,0,0,2
26,A,0,14,0,0,14
26,A,20,3,0,0,3
26,A,40,10,0,0,10
26,B,0,2,0,0,2
26,B,20,9,0,0,9
26,B,40,3,0,0,3
27,A,0,20,0,44,64
27,A,20,3,0,0,3
27,A,40,4,0,0,4
27,B,0,4,5,0,9
27,B,20,13,0,3,16
27,B,40,2,0,0,2
29,A,0,31,0,0,31
29,A,20,3,0,0,3
29,A,40,13,0,27,40
29,B,0,16,22,0,38
29,B,20,0,0,3,3
29,B,40,54,0,0,54
30,A,0,27,0,30,57
30,A,20,16,0,22,38
30,A,40,17,6,11,34
30,B,0,14,0,24,38
30,B,20,12,0,25,37
30,B,40,12,3,30,45
31,A,0,19,0,0,19
31,A,20,37,0,0,37
31,A,40,40,0,13,53
31,B,0,9,0,4,13
31,B,20,28,0,18,46
31,B,40,9,0,6,15
32,A,0,20,0,6,26
32,A,20,58,0,11,69
32,A,40,31,0,40,71
32,B,0,5,38,10,53
32,B,20,24,2,14,40
32,B,40,20,0,18,38
34,A,0,6,0,0,6
34,A,20,4,0,0,4
34,A,40,2,0,0,2
34,B,0,1,0,0,1
34,B,20,3,0,0,3
34,B,40,1,0,0,1
35,A,0,4,0,3,7
35,A,20,8,0,2,10
35,A,40,12,0,0,12
35,B,0,14,0,0,14
35,B,20,6,0,0,6
35,B,40,13,0,0,13
37,A,0,0.9,0,0,0.9
37,A,20,8,0,0,8
37,A,40,2,0,0,2
37,B,0,3,0,0,3
37,B,20,0,0,0,0
37,B,40,1,0,0,1
38,A,0,10,0,33,43
38,A,20,15,0,4,19
38,A,40,15,0,12,27
38,B,0,34,0,0,34
38,B,20,8,0,20,28
38,B,40,6,0,18,24
